s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
 3.1001120E+001, 2.4637100E+002,-7.7346992E+001,-5.9597415E+000,-5.2713703E+001, 1.9466169E+000, 0.0000000E+000, 0.0000000E+000, 1.1229180E+002, 1.1229718E+002, 0.0000000E+000, 4.9711954E-003, 0.0000000E+000
 3.2002892E+001, 2.4512919E+002,-8.0540210E+001,-8.2810326E+000,-5.7386179E+001, 1.9318213E+000, 0.0000000E+000, 0.0000000E+000, 1.0032333E+002, 1.0085359E+002, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 3.3004398E+001, 2.4804090E+002,-8.4312498E+001,-1.6310474E+001,-5.9909149E+001, 1.9572494E+000, 0.0000000E+000, 0.0000000E+000, 8.9646940E+001, 8.9466032E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 3.4001911E+001, 2.5500365E+002,-9.0096725E+001,-2.3027581E+001,-6.2766295E+001, 2.0962848E+000, 0.0000000E+000, 0.0000000E+000, 8.1048691E+001, 8.1209330E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 3.5000721E+001, 2.5087034E+002,-9.0466165E+001,-2.8331540E+001,-6.3883500E+001, 2.1560545E+000, 0.0000000E+000, 0.0000000E+000, 6.9888228E+001, 7.0345194E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 3.6004940E+001, 2.4784895E+002,-9.3865246E+001,-2.8256132E+001,-6.6934435E+001, 2.0727792E+000, 0.0000000E+000, 0.0000000E+000, 6.0474920E+001, 6.0865914E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 3.7003056E+001, 2.5023117E+002,-9.7948030E+001,-3.7444946E+001,-6.9333200E+001, 2.2152222E+000, 0.0000000E+000, 0.0000000E+000, 4.7991697E+001, 4.7720216E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 3.8002087E+001, 2.5478828E+002,-1.0057782E+002,-3.9491628E+001,-6.9332707E+001, 2.1122195E+000, 0.0000000E+000, 0.0000000E+000, 4.7224178E+001, 4.7498349E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 3.9004639E+001, 2.4724198E+002,-9.8373222E+001,-3.6785703E+001,-6.8171460E+001, 2.1574096E+000, 0.0000000E+000, 0.0000000E+000, 4.5715190E+001, 4.6069003E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 4.0000641E+001, 2.4807030E+002,-1.0101717E+002,-4.3590009E+001,-6.9120209E+001, 1.9232300E+000, 0.0000000E+000, 0.0000000E+000, 3.6172065E+001, 3.6266143E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 4.1002945E+001, 2.5331247E+002,-1.0564201E+002,-4.8823442E+001,-7.1236282E+001, 2.1417117E+000, 0.0000000E+000, 0.0000000E+000, 2.9393716E+001, 2.9752451E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 4.2002293E+001, 2.4438731E+002,-1.0372643E+002,-5.4420748E+001,-7.1379051E+001, 1.8839867E+000, 0.0000000E+000, 0.0000000E+000, 1.6572473E+001, 1.6745062E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 4.3002937E+001, 2.5422729E+002,-1.0616824E+002,-4.8818221E+001,-7.1017158E+001, 1.8598542E+000, 0.0000000E+000, 0.0000000E+000, 2.9688988E+001, 3.0083523E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 4.4003578E+001, 2.4725694E+002,-1.0566137E+002,-5.4089838E+001,-7.1828140E+001, 1.9552684E+000, 0.0000000E+000, 0.0000000E+000, 1.7355838E+001, 1.7632861E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 4.5002338E+001, 2.5486407E+002,-1.1025575E+002,-6.1291589E+001,-7.3505077E+001, 2.0075344E+000, 0.0000000E+000, 0.0000000E+000, 1.1956382E+001, 1.1819190E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 4.6001709E+001, 2.4774263E+002,-1.0684972E+002,-6.2769562E+001,-7.1555377E+001, 2.0068488E+000, 0.0000000E+000, 0.0000000E+000, 8.2868755E+000, 8.5748243E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 4.7002132E+001, 2.4845245E+002,-1.1054425E+002,-5.9460707E+001,-7.1594642E+001, 1.9575767E+000, 0.0000000E+000, 0.0000000E+000, 8.7795277E+000, 8.8104300E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 4.8000835E+001, 2.5368730E+002,-1.1050627E+002,-6.0419482E+001,-7.2834439E+001, 2.0189305E+000, 0.0000000E+000, 0.0000000E+000, 1.1632528E+001, 1.1946038E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 4.9004871E+001, 2.4691062E+002,-1.0944939E+002,-6.4935007E+001,-7.1327619E+001, 2.1137337E+000, 0.0000000E+000, 0.0000000E+000, 3.1757423E+000, 3.3123433E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 5.0000221E+001, 2.5141672E+002,-1.1107244E+002,-6.0234590E+001,-7.1743313E+001, 2.0610684E+000, 0.0000000E+000, 0.0000000E+000, 1.0125422E+001, 1.0427446E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 5.1003506E+001, 2.5205360E+002,-1.1352568E+002,-6.3050286E+001,-7.1774054E+001, 2.1520894E+000, 0.0000000E+000, 0.0000000E+000, 5.6210552E+000, 5.8556661E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 5.2003380E+001, 2.4987599E+002,-1.1397411E+002,-6.3941649E+001,-7.1976395E+001, 2.1598464E+000, 0.0000000E+000, 0.0000000E+000, 2.2400158E+000, 2.1436833E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 5.3002720E+001, 2.4551474E+002,-1.1305315E+002,-6.6205668E+001,-7.2350036E+001, 2.2587700E+000, 0.0000000E+000, 0.0000000E+000,-4.0589233E+000,-3.8353378E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 5.4000069E+001, 2.5436719E+002,-1.1339639E+002,-6.1997451E+001,-7.1628366E+001, 2.1195674E+000, 0.0000000E+000, 0.0000000E+000, 9.8639923E+000, 9.4645534E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 5.5002426E+001, 2.5014386E+002,-1.1187444E+002,-6.5316536E+001,-7.1203350E+001, 2.2720872E+000, 0.0000000E+000, 0.0000000E+000, 3.1539302E+000, 4.0216270E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 5.6001980E+001, 2.4821892E+002,-1.1000584E+002,-6.2524925E+001,-6.9875372E+001, 2.1813906E+000, 0.0000000E+000, 0.0000000E+000, 7.9429109E+000, 7.9941729E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 5.7001999E+001, 2.4849212E+002,-1.1092265E+002,-7.1624029E+001,-7.0093866E+001, 2.2158401E+000, 0.0000000E+000, 0.0000000E+000,-2.3417188E+000,-1.9325848E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 5.8000713E+001, 2.5113865E+002,-1.1392201E+002,-6.8180941E+001,-7.1296301E+001, 2.0350997E+000, 0.0000000E+000, 0.0000000E+000,-4.7638693E-001,-2.2550358E-001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 5.9004601E+001, 2.4977176E+002,-1.1489132E+002,-6.4512321E+001,-7.0933332E+001, 2.2813863E+000, 0.0000000E+000, 0.0000000E+000, 1.2770210E+000, 1.7161745E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 6.0001308E+001, 2.5023855E+002,-1.1629144E+002,-6.7367194E+001,-7.1223474E+001, 2.1603577E+000, 0.0000000E+000, 0.0000000E+000,-2.6293569E+000,-2.4832082E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 6.1002766E+001, 2.4667166E+002,-1.1148252E+002,-7.0051317E+001,-7.0605834E+001, 1.9949390E+000, 0.0000000E+000, 0.0000000E+000,-3.4441174E+000,-3.4730718E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 6.2001350E+001, 2.5743824E+002,-1.1492202E+002,-7.5426308E+001,-7.1413322E+001, 2.1539244E+000, 0.0000000E+000, 0.0000000E+000,-2.5903566E+000,-2.1694934E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 6.3002876E+001, 2.4324674E+002,-1.1318154E+002,-6.3031557E+001,-7.0689214E+001, 2.0236867E+000, 0.0000000E+000, 0.0000000E+000,-1.6218661E+000,-1.6318936E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 6.4002808E+001, 2.5038253E+002,-1.1455298E+002,-6.6420933E+001,-7.0116857E+001, 2.1323751E+000, 0.0000000E+000, 0.0000000E+000, 7.0473860E-001, 1.4241282E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 6.5004005E+001, 2.5425416E+002,-1.1487881E+002,-6.3650581E+001,-7.0329082E+001, 2.2394734E+000, 0.0000000E+000, 0.0000000E+000, 7.7632247E+000, 7.6351664E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 6.6000725E+001, 2.4941375E+002,-1.1440473E+002,-7.0104564E+001,-6.8818017E+001, 1.8966142E+000, 0.0000000E+000, 0.0000000E+000,-2.5680380E+000,-2.0169459E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 6.7001541E+001, 2.4804088E+002,-1.1393572E+002,-6.9679210E+001,-6.9705601E+001, 2.1180810E+000, 0.0000000E+000, 0.0000000E+000,-3.2995785E+000,-3.1615705E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 6.8000732E+001, 2.4797909E+002,-1.1529890E+002,-7.1098443E+001,-6.9978552E+001, 2.0641261E+000, 0.0000000E+000, 0.0000000E+000,-6.9512340E+000,-6.3326764E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 6.9002579E+001, 2.5751364E+002,-1.1491782E+002,-6.8144399E+001,-7.0957493E+001, 2.0233785E+000, 0.0000000E+000, 0.0000000E+000, 5.7689801E+000, 5.5173040E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 7.0000206E+001, 2.4294835E+002,-1.1274225E+002,-7.4168155E+001,-6.9695270E+001, 2.1132271E+000, 0.0000000E+000, 0.0000000E+000,-1.1893048E+001,-1.1544101E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 7.1003319E+001, 2.4624729E+002,-1.1533066E+002,-6.4600011E+001,-7.0738702E+001, 1.9362488E+000, 0.0000000E+000, 0.0000000E+000,-2.1743002E+000,-2.4858317E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 7.2005203E+001, 2.5073558E+002,-1.1840953E+002,-6.5269822E+001,-7.0843117E+001, 2.0954581E+000, 0.0000000E+000, 0.0000000E+000,-2.4225118E+000,-1.6914280E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 7.3000412E+001, 2.5218703E+002,-1.1888009E+002,-7.0926961E+001,-7.1109354E+001, 1.8512085E+000, 0.0000000E+000, 0.0000000E+000,-7.1873409E+000,-6.8781658E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 7.4004288E+001, 2.5173800E+002,-1.1953924E+002,-6.3250047E+001,-7.0890066E+001, 1.9560900E+000, 0.0000000E+000, 0.0000000E+000,-1.3773016E-002, 1.4735976E-002, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 7.5001579E+001, 2.4874665E+002,-1.1866687E+002,-7.1531697E+001,-6.9973562E+001, 2.0642787E+000, 0.0000000E+000, 0.0000000E+000,-9.3432812E+000,-9.3612084E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 7.6003693E+001, 2.4896893E+002,-1.1650532E+002,-6.3363457E+001,-6.9529508E+001, 2.1110955E+000, 0.0000000E+000, 0.0000000E+000, 1.3391156E+000, 1.6817404E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 7.7003700E+001, 2.5544140E+002,-1.1791261E+002,-6.7221207E+001,-6.9441396E+001, 2.1742702E+000, 0.0000000E+000, 0.0000000E+000, 2.9106997E+000, 3.0404591E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 7.8000961E+001, 2.4927666E+002,-1.1536421E+002,-6.8424903E+001,-6.9078675E+001, 2.1828365E+000, 0.0000000E+000, 0.0000000E+000,-2.0718642E+000,-1.4082866E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 7.9002136E+001, 2.4846781E+002,-1.1322726E+002,-6.8020294E+001,-6.8268835E+001, 2.1296083E+000, 0.0000000E+000, 0.0000000E+000, 9.1028039E-001, 1.0810303E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 8.0000069E+001, 2.5075841E+002,-1.1689478E+002,-6.8703427E+001,-6.8161502E+001, 2.1122087E+000, 0.0000000E+000, 0.0000000E+000,-1.3807141E+000,-8.8909169E-001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 8.1004158E+001, 2.4953928E+002,-1.1214060E+002,-6.4234864E+001,-6.6003481E+001, 2.0261090E+000, 0.0000000E+000, 0.0000000E+000, 9.4038920E+000, 9.1864372E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 8.2001144E+001, 2.5278858E+002,-1.1479584E+002,-7.1338109E+001,-6.7194198E+001, 2.2561693E+000, 0.0000000E+000, 0.0000000E+000, 1.3248491E+000, 1.7166079E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 8.3003204E+001, 2.4608926E+002,-1.1141996E+002,-6.5221237E+001,-6.7735595E+001, 2.1756586E+000, 0.0000000E+000, 0.0000000E+000, 3.8792114E+000, 3.8881195E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 8.4000877E+001, 2.5429489E+002,-1.1401895E+002,-7.0982687E+001,-6.8431919E+001, 2.3040610E+000, 0.0000000E+000, 0.0000000E+000, 2.7676397E+000, 3.1653951E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 8.5003616E+001, 2.4233211E+002,-1.0920057E+002,-6.7416711E+001,-6.7337867E+001, 1.9553249E+000, 0.0000000E+000, 0.0000000E+000, 8.5090506E-002, 3.3228782E-001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 8.6002319E+001, 2.5499434E+002,-1.1383184E+002,-7.2736996E+001,-6.7314446E+001, 2.1392226E+000, 0.0000000E+000, 0.0000000E+000, 3.1075913E+000, 3.2502802E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 8.7003723E+001, 2.5068539E+002,-1.1159549E+002,-7.2498667E+001,-6.7336037E+001, 2.0151545E+000, 0.0000000E+000, 0.0000000E+000, 1.4477040E+000, 1.2703562E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 8.8005440E+001, 2.5102586E+002,-1.1467747E+002,-6.5840374E+001,-6.7672806E+001, 2.1648437E+000, 0.0000000E+000, 0.0000000E+000, 4.1433876E+000, 5.0000550E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 8.9001205E+001, 2.5285597E+002,-1.1527048E+002,-7.5328440E+001,-6.8375057E+001, 2.1965033E+000, 0.0000000E+000, 0.0000000E+000,-3.5617040E+000,-3.9215048E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 9.0002838E+001, 2.4680553E+002,-1.1150971E+002,-7.4917898E+001,-6.8226209E+001, 2.1356111E+000, 0.0000000E+000, 0.0000000E+000,-6.4628109E+000,-5.7126819E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 9.1004387E+001, 2.4728820E+002,-1.1104861E+002,-6.6657740E+001,-6.6966084E+001, 2.1480336E+000, 0.0000000E+000, 0.0000000E+000, 4.9205104E+000, 4.7638045E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 9.2002731E+001, 2.4765878E+002,-1.1250541E+002,-7.4882060E+001,-6.6783135E+001, 2.0804590E+000, 0.0000000E+000, 0.0000000E+000,-4.7008297E+000,-4.4313652E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 9.3002998E+001, 2.5226590E+002,-1.1221510E+002,-7.7501523E+001,-6.6330739E+001, 2.2235414E+000, 0.0000000E+000, 0.0000000E+000,-1.8867445E+000,-1.5579208E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 9.4000816E+001, 2.5414734E+002,-1.1623975E+002,-6.6842185E+001,-6.7297081E+001, 2.1714714E+000, 0.0000000E+000, 0.0000000E+000, 5.3603286E+000, 5.9398005E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 9.5004181E+001, 2.4610232E+002,-1.1344099E+002,-6.9676377E+001,-6.6922107E+001, 1.9370118E+000, 0.0000000E+000, 0.0000000E+000,-2.2044464E+000,-2.0001467E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 9.6000000E+001, 2.5186876E+002,-1.1413927E+002,-7.6122929E+001,-6.7195806E+001, 2.0625692E+000, 0.0000000E+000, 0.0000000E+000,-3.5910547E+000,-3.5266755E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 9.7001984E+001, 2.4541248E+002,-1.1246403E+002,-6.4535770E+001,-6.6848254E+001, 2.1869478E+000, 0.0000000E+000, 0.0000000E+000, 3.6366484E+000, 3.7513770E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 9.8004578E+001, 2.4895248E+002,-1.1226527E+002,-7.0545008E+001,-6.5966272E+001, 2.1250675E+000, 0.0000000E+000, 0.0000000E+000, 2.0639363E+000, 2.3009978E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 9.9000313E+001, 2.5508866E+002,-1.1426999E+002,-6.5680790E+001,-6.5810973E+001, 1.9549463E+000, 0.0000000E+000, 0.0000000E+000, 1.1155190E+001, 1.1281853E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 1.0000007E+002, 2.5283242E+002,-1.1310444E+002,-7.5494164E+001,-6.6122610E+001, 2.2357547E+000, 0.0000000E+000, 0.0000000E+000, 3.2590183E-001, 3.4696070E-001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 1.0100107E+002, 2.5278641E+002,-1.1285333E+002,-7.1896804E+001,-6.4850778E+001, 2.2393850E+000, 0.0000000E+000, 0.0000000E+000, 4.8987937E+000, 5.4248765E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 1.0200404E+002, 2.4937710E+002,-1.1314902E+002,-6.8149755E+001,-6.6221200E+001, 2.1787763E+000, 0.0000000E+000, 0.0000000E+000, 3.9245585E+000, 4.0359039E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 1.0300426E+002, 2.4231018E+002,-1.1284302E+002,-6.9791305E+001,-6.6020994E+001, 2.1792315E+000, 0.0000000E+000, 0.0000000E+000,-4.3275002E+000,-4.1659060E+000, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 1.0400433E+002, 2.4280672E+002,-1.1103064E+002,-7.8879098E+001,-6.5952024E+001, 2.0292253E+000, 0.0000000E+000, 0.0000000E+000,-1.1510857E+001,-1.1025824E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
 1.0500282E+002, 2.5756132E+002,-1.1462932E+002,-6.5602388E+001,-6.5370453E+001, 2.0840327E+000, 0.0000000E+000, 0.0000000E+000, 1.3749474E+001, 1.4043196E+001, 0.0000000E+000, 5.0000040E-003, 0.0000000E+000
