s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-9.5148878E-002,-1.7351384E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5148895E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0098100E+000, 1.5343162E-002, 8.3913072E-002, 1.3115652E-002, 7.0354001E-001, 2.1656486E-004, 0.0000000E+000, 0.0000000E+000, 7.5002840E-001, 8.1612846E-001, 0.0000000E+000, 4.1594842E-007, 0.0000000E+000
 2.0187707E+000, 3.3101100E-001, 9.7024318E-001, 3.3621972E-003, 1.8297331E+000, 1.0097828E-002, 0.0000000E+000, 0.0000000E+000, 3.0814473E+000, 3.1444473E+000, 0.0000000E+000, 7.3596436E-006, 0.0000000E+000
 3.0169640E+000, 1.1505061E+000, 2.1347729E+000, 9.7699271E-002, 2.0714679E+000, 4.1454215E-002, 0.0000000E+000, 0.0000000E+000, 5.4685930E+000, 5.4959004E+000, 0.0000000E+000, 2.5165107E-005, 0.0000000E+000
 4.0005136E+000, 2.5289187E+000, 2.3464337E+000, 1.9306125E-001, 1.9643233E+000, 8.9127786E-002, 0.0000000E+000, 0.0000000E+000, 7.0766212E+000, 7.1218646E+000, 0.0000000E+000, 5.3776185E-005, 0.0000000E+000
 5.0023141E+000, 4.4786879E+000, 1.9403671E+000, 2.5086060E-001, 1.7317234E+000, 1.4976243E-001, 0.0000000E+000, 0.0000000E+000, 8.5253384E+000, 8.5514014E+000, 0.0000000E+000, 9.3341867E-005, 0.0000000E+000
 6.0056443E+000, 7.0013249E+000, 1.3217629E+000, 3.4876542E-001, 1.4127351E+000, 2.2517845E-001, 0.0000000E+000, 0.0000000E+000, 1.0281492E+001, 1.0309767E+001, 0.0000000E+000, 1.4441178E-004, 0.0000000E+000
 7.0036135E+000, 1.0107849E+001, 5.5720120E-001, 4.7499183E-001, 9.7791606E-001, 3.1020907E-001, 0.0000000E+000, 0.0000000E+000, 1.2398180E+001, 1.2428167E+001, 0.0000000E+000, 2.0648764E-004, 0.0000000E+000
 8.0038605E+000, 1.3684606E+001,-3.9747664E-001, 6.3560164E-001, 4.8576189E-001, 3.9843225E-001, 0.0000000E+000, 0.0000000E+000, 1.4772005E+001, 1.4806925E+001, 0.0000000E+000, 2.7961716E-004, 0.0000000E+000
 9.0101414E+000, 1.7967058E+001,-1.4483223E+000, 8.0923653E-001,-1.4568316E-001, 5.0309604E-001, 0.0000000E+000, 0.0000000E+000, 1.7662082E+001, 1.7685386E+001, 0.0000000E+000, 3.6417766E-004, 0.0000000E+000
 1.0008341E+001, 2.2779356E+001,-2.6190537E+000, 1.0016443E+000,-9.7389957E-001, 6.3077241E-001, 0.0000000E+000, 0.0000000E+000, 2.0773683E+001, 2.0818820E+001, 0.0000000E+000, 4.5978832E-004, 0.0000000E+000
 1.1000859E+001, 2.7738773E+001,-3.9034943E+000, 1.2462562E+000,-1.7424923E+000, 7.5216791E-001, 0.0000000E+000, 0.0000000E+000, 2.4056051E+001, 2.4091210E+001, 0.0000000E+000, 5.6582819E-004, 0.0000000E+000
 1.2000420E+001, 3.3389800E+001,-5.3899225E+000, 1.4748726E+000,-2.5454195E+000, 8.8572995E-001, 0.0000000E+000, 0.0000000E+000, 2.7754334E+001, 2.7815060E+001, 0.0000000E+000, 6.8296120E-004, 0.0000000E+000
 1.3006254E+001, 3.9703402E+001,-6.9045930E+000, 1.8628094E+000,-3.4492383E+000, 9.7943304E-001, 0.0000000E+000, 0.0000000E+000, 3.2159277E+001, 3.2191813E+001, 0.0000000E+000, 8.1196995E-004, 0.0000000E+000
 1.4004898E+001, 4.6978264E+001,-8.8057057E+000, 2.1797213E+000,-4.6934952E+000, 1.1006374E+000, 0.0000000E+000, 0.0000000E+000, 3.6690492E+001, 3.6759422E+001, 0.0000000E+000, 9.5211989E-004, 0.0000000E+000
 1.5004801E+001, 5.4611313E+001,-1.0783768E+001, 2.5451413E+000,-6.2448867E+000, 1.2141437E+000, 0.0000000E+000, 0.0000000E+000, 4.1245717E+001, 4.1341944E+001, 0.0000000E+000, 1.1029766E-003, 0.0000000E+000
 1.6002869E+001, 6.1868760E+001,-1.2590420E+001, 2.9604849E+000,-7.4918553E+000, 1.3494968E+000, 0.0000000E+000, 0.0000000E+000, 4.5994476E+001, 4.6096467E+001, 0.0000000E+000, 1.2648632E-003, 0.0000000E+000
 1.7002653E+001, 7.0788601E+001,-1.4931236E+001, 3.2008460E+000,-9.3157624E+000, 1.4551677E+000, 0.0000000E+000, 0.0000000E+000, 5.1154028E+001, 5.1197616E+001, 0.0000000E+000, 1.4378435E-003, 0.0000000E+000
 1.8001629E+001, 7.9401330E+001,-1.7406177E+001, 3.1984056E+000,-1.1658773E+001, 1.5347144E+000, 0.0000000E+000, 0.0000000E+000, 5.5065595E+001, 5.5069500E+001, 0.0000000E+000, 1.6219724E-003, 0.0000000E+000
 1.9003056E+001, 8.8139078E+001,-1.9706022E+001, 2.5686349E+000,-1.3979717E+001, 1.5938173E+000, 0.0000000E+000, 0.0000000E+000, 5.8509890E+001, 5.8615792E+001, 0.0000000E+000, 1.8173645E-003, 0.0000000E+000
 2.0004436E+001, 1.0154290E+002,-2.3432079E+001, 2.5288051E+000,-1.6566399E+001, 1.7734565E+000, 0.0000000E+000, 0.0000000E+000, 6.5736372E+001, 6.5846687E+001, 0.0000000E+000, 2.0241391E-003, 0.0000000E+000
 2.1001474E+001, 1.0895706E+002,-2.5650264E+001, 2.5626153E+000,-1.8568560E+001, 1.7650725E+000, 0.0000000E+000, 0.0000000E+000, 6.9035011E+001, 6.9065920E+001, 0.0000000E+000, 2.2415752E-003, 0.0000000E+000
 2.2001795E+001, 1.1913897E+002,-2.8632543E+001, 3.8139327E+000,-2.1368837E+001, 1.8045093E+000, 0.0000000E+000, 0.0000000E+000, 7.4684094E+001, 7.4756034E+001, 0.0000000E+000, 2.4699663E-003, 0.0000000E+000
 2.3004465E+001, 1.3490708E+002,-3.3425274E+001, 4.3553792E+000,-2.4319786E+001, 1.9903448E+000, 0.0000000E+000, 0.0000000E+000, 8.3416680E+001, 8.3507742E+001, 0.0000000E+000, 2.7101603E-003, 0.0000000E+000
 2.4001274E+001, 1.4678957E+002,-3.7112504E+001, 3.6724237E+000,-2.7582521E+001, 2.1360136E+000, 0.0000000E+000, 0.0000000E+000, 8.7764453E+001, 8.7902979E+001, 0.0000000E+000, 2.9609961E-003, 0.0000000E+000
 2.5003796E+001, 1.5498927E+002,-4.0374073E+001, 5.2668249E+000,-2.9775163E+001, 2.0442355E+000, 0.0000000E+000, 0.0000000E+000, 9.2102134E+001, 9.2151091E+001, 0.0000000E+000, 3.2229843E-003, 0.0000000E+000
 2.6002903E+001, 1.7498222E+002,-4.6781881E+001, 5.3360555E+000,-3.4358526E+001, 2.2045098E+000, 0.0000000E+000, 0.0000000E+000, 1.0100877E+002, 1.0138238E+002, 0.0000000E+000, 3.4963460E-003, 0.0000000E+000
 2.7003525E+001, 1.8044537E+002,-4.9218849E+001,-2.9556004E-001,-3.7345294E+001, 2.0518990E+000, 0.0000000E+000, 0.0000000E+000, 9.5726905E+001, 9.5637570E+001, 0.0000000E+000, 3.7805551E-003, 0.0000000E+000
 2.8003962E+001, 2.0121629E+002,-5.6941934E+001, 1.6164313E+000,-4.0446198E+001, 1.9406371E+000, 0.0000000E+000, 0.0000000E+000, 1.0714078E+002, 1.0738523E+002, 0.0000000E+000, 4.0761312E-003, 0.0000000E+000
 2.9000643E+001, 2.1634014E+002,-6.2806428E+001, 2.3574699E+000,-4.6133588E+001, 2.1046820E+000, 0.0000000E+000, 0.0000000E+000, 1.1177269E+002, 1.1186228E+002, 0.0000000E+000, 4.3821691E-003, 0.0000000E+000
 3.0001812E+001, 2.3078345E+002,-6.9454005E+001,-5.6903537E-001,-4.8768103E+001, 2.0058101E+000, 0.0000000E+000, 0.0000000E+000, 1.1372976E+002, 1.1399811E+002, 0.0000000E+000, 4.6994721E-003, 0.0000000E+000
