s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,C,C,C,C,C,C,kW/m2,kW,kW
Time,"AST_TP08","AST_TP09","AST_TP10","AST_TP11","AST_TP12","AST_TP13","AST_TP15","AST_TP18","AST_TP19","AST_TP20","AST_TP21","AST_TP22","AST_TP99","AST_TP40","AST_TP41","AST_TP42","AST_TP43","AST_TP44","QINC_TP08","QINC_TP09","QINC_TP10","QINC_TP11","QINC_TP12","QINC_TP13","QINC_TP15","QINC_TP18","QINC_TP19","QINC_TP20","QINC_TP21","QINC_TP22","QINC_TP99","QINC_TP40","QINC_TP41","QINC_TP42","QINC_TP43","QINC_TP44","T_TE33","T_TE34","T_TE35","T_TE36","T_TE37","T_TE38","RAD-W9","STAT-CLT-HRR","STAT-BURNER-HRR"
 4.5138703E+000, 1.0169342E+002, 9.6210227E+001, 1.5158713E+002, 1.2414687E+002, 1.0411065E+002, 5.1662260E+001, 2.8646466E+001, 2.0396702E+001, 2.0616122E+001, 2.0248582E+001, 2.0514670E+001, 2.0096475E+001, 6.5529312E+001, 2.6612198E+001, 2.6345743E+001, 2.2901366E+001, 2.1486043E+001, 2.0472313E+001, 3.0750612E+000, 3.1191492E+000, 4.8614314E+000, 3.9605827E+000, 3.0878132E+000, 1.4883721E+000, 7.2071554E-001, 4.3274027E-001, 4.4068331E-001, 4.2756374E-001, 4.3687104E-001, 4.2223923E-001, 1.6704592E+000, 4.6534861E-001, 4.6342163E-001, 4.3888501E-001, 4.2900915E-001, 4.2200817E-001, 2.5545956E+001, 3.0192221E+001, 2.5219840E+001, 2.0043596E+001, 2.0028567E+001, 2.0016389E+001, 4.0190231E-002, 5.3656587E-004, 2.1808306E+000
 5.0015863E+000, 1.1003130E+002, 9.6538622E+001, 1.6208428E+002, 1.3089811E+002, 1.1030154E+002, 6.3474676E+001, 2.8906479E+001, 2.0419618E+001, 2.0657290E+001, 2.0266672E+001, 2.0539492E+001, 2.0106567E+001, 6.5257962E+001, 2.6864670E+001, 2.6751342E+001, 2.3123566E+001, 2.1622467E+001, 2.0568781E+001, 3.0921341E+000, 3.1349265E+000, 4.8828039E+000, 3.9942854E+000, 3.1076668E+000, 1.5016330E+000, 7.2520698E-001, 4.3334337E-001, 4.4177974E-001, 4.2806442E-001, 4.3745000E-001, 4.2254329E-001, 1.6848136E+000, 4.6717633E-001, 4.6635491E-001, 4.4044451E-001, 4.2995496E-001, 4.2267151E-001, 2.6524540E+001, 3.2083153E+001, 2.5800835E+001, 2.0056733E+001, 2.0038904E+001, 2.0022574E+001, 4.2830185E-002, 6.9709417E-004, 2.6840455E+000
 5.5090491E+000, 1.0557977E+002, 9.6839086E+001, 1.5747435E+002, 1.3464409E+002, 1.1783784E+002, 6.2153161E+001, 2.9160859E+001, 2.0450786E+001, 2.0701363E+001, 2.0283645E+001, 2.0559420E+001, 2.0113406E+001, 6.6825940E+001, 2.7078683E+001, 2.7295778E+001, 2.3286272E+001, 2.1701049E+001, 2.0610004E+001, 3.1159162E+000, 3.1548033E+000, 4.9253136E+000, 4.0336432E+000, 3.1307416E+000, 1.5157693E+000, 7.2891621E-001, 4.3424177E-001, 4.4296757E-001, 4.2851982E-001, 4.3784849E-001, 4.2272384E-001, 1.6962171E+000, 4.6872801E-001, 4.7031002E-001, 4.4158785E-001, 4.3049974E-001, 4.2295488E-001, 2.7732976E+001, 3.4441307E+001, 2.6367338E+001, 2.0070271E+001, 2.0049338E+001, 2.0028819E+001, 4.6389782E-002, 1.1172562E-003, 3.1502970E+000
 6.0006623E+000, 1.1850542E+002, 9.8099942E+001, 1.6292191E+002, 1.4197897E+002, 1.2222135E+002, 6.4808340E+001, 2.9544787E+001, 2.0472979E+001, 2.0737471E+001, 2.0297833E+001, 2.0581824E+001, 2.0118853E+001, 7.1067080E+001, 2.7262184E+001, 2.7707682E+001, 2.3437119E+001, 2.1759549E+001, 2.0637925E+001, 3.1355156E+000, 3.1683991E+000, 4.9469703E+000, 4.0710088E+000, 3.1501672E+000, 1.5294518E+000, 7.3264604E-001, 4.3480059E-001, 4.4385603E-001, 4.2887052E-001, 4.3834410E-001, 4.2285175E-001, 1.7109655E+000, 4.7006003E-001, 4.7331287E-001, 4.4264876E-001, 4.3090518E-001, 4.2314671E-001, 2.8472314E+001, 3.7037148E+001, 2.7013864E+001, 2.0084218E+001, 2.0059885E+001, 2.0035099E+001, 4.9092351E-002, 1.5214847E-003, 3.7373801E+000
 6.5057702E+000, 1.1964730E+002, 9.9763239E+001, 1.7087448E+002, 1.3642848E+002, 1.2291541E+002, 6.6899653E+001, 3.3653632E+001, 2.0505390E+001, 2.0778135E+001, 2.0312102E+001, 2.0599336E+001, 2.0123743E+001, 7.1634088E+001, 2.7468393E+001, 2.8260266E+001, 2.3591516E+001, 2.1810144E+001, 2.0662719E+001, 3.1601569E+000, 3.1987227E+000, 5.0087836E+000, 4.1137907E+000, 3.1735469E+000, 1.5406837E+000, 7.3812702E-001, 4.3572970E-001, 4.4491376E-001, 4.2922615E-001, 4.3866824E-001, 4.2295979E-001, 1.7221475E+000, 4.7155984E-001, 4.7735993E-001, 4.4373617E-001, 4.3125580E-001, 4.2331703E-001, 2.9634184E+001, 3.8818529E+001, 2.7726245E+001, 2.0098454E+001, 2.0070377E+001, 2.0041321E+001, 5.2734699E-002, 2.3919580E-003, 4.4113456E+000
 7.0033732E+000, 1.1452542E+002, 9.9659473E+001, 1.7315727E+002, 1.4907919E+002, 1.3090161E+002, 7.7529112E+001, 3.5083680E+001, 2.0523547E+001, 2.0807603E+001, 2.0328960E+001, 2.0614202E+001, 2.0129651E+001, 8.2578774E+001, 2.7668211E+001, 2.8626128E+001, 2.3780232E+001, 2.1865645E+001, 2.0689238E+001, 3.1849070E+000, 3.2131655E+000, 5.0227886E+000, 4.1533194E+000, 3.1954356E+000, 1.5600464E+000, 7.4398938E-001, 4.3611966E-001, 4.4556017E-001, 4.2967622E-001, 4.3890554E-001, 4.2310559E-001, 1.7410887E+000, 4.7301529E-001, 4.8004719E-001, 4.4506762E-001, 4.3164067E-001, 4.2349925E-001, 3.0149941E+001, 4.0382518E+001, 2.9192189E+001, 2.0113183E+001, 2.0081024E+001, 2.0047590E+001, 5.5153239E-002, 2.2156672E-003, 5.0660400E+000
 7.5108296E+000, 1.1816803E+002, 1.0816776E+002, 1.7591419E+002, 1.4960509E+002, 1.2726518E+002, 7.2003230E+001, 3.4191437E+001, 2.0563252E+001, 2.0863943E+001, 2.0345478E+001, 2.0642569E+001, 2.0134993E+001, 7.2428892E+001, 2.7895836E+001, 2.9332536E+001, 2.3940836E+001, 2.1927315E+001, 2.0720265E+001, 3.2072215E+000, 3.2317623E+000, 5.0429433E+000, 4.2099205E+000, 3.2256247E+000, 1.5758877E+000, 7.5118368E-001, 4.3729613E-001, 4.4720163E-001, 4.3011501E-001, 4.3964529E-001, 4.2323085E-001, 1.7584367E+000, 4.7467655E-001, 4.8526283E-001, 4.4620222E-001, 4.3206865E-001, 4.2371255E-001, 3.0555084E+001, 4.3539807E+001, 3.0392633E+001, 2.0127971E+001, 2.0091679E+001, 2.0053861E+001, 5.9847309E-002, 2.7551852E-003, 5.9739744E+000
 8.0010381E+000, 1.2291160E+002, 1.0783673E+002, 1.7880673E+002, 1.6607090E+002, 1.3385392E+002, 7.3831271E+001, 4.1075989E+001, 2.0602948E+001, 2.0900262E+001, 2.0373883E+001, 2.0649295E+001, 2.0142445E+001, 7.5658303E+001, 2.8133844E+001, 2.9876251E+001, 2.4138998E+001, 2.1993871E+001, 2.0753595E+001, 3.2346801E+000, 3.2681759E+000, 5.1201507E+000, 4.2452888E+000, 3.2454381E+000, 1.5896606E+000, 7.5901690E-001, 4.3847069E-001, 4.4810439E-001, 4.3099006E-001, 4.3959744E-001, 4.2343424E-001, 1.7713262E+000, 4.7641729E-001, 4.8929972E-001, 4.4760436E-001, 4.3253085E-001, 4.2394176E-001, 3.1058125E+001, 4.5629187E+001, 3.1012438E+001, 2.0143408E+001, 2.0102591E+001, 2.0060236E+001, 6.3480519E-002, 2.4278100E-003, 6.9402341E+000
 8.5026689E+000, 1.2667180E+002, 1.0827871E+002, 1.8569739E+002, 1.6825548E+002, 1.4220472E+002, 7.4875510E+001, 3.8409891E+001, 2.0619604E+001, 2.0933716E+001, 2.0380520E+001, 2.0671452E+001, 2.0149079E+001, 7.7148614E+001, 2.8491314E+001, 3.0387386E+001, 2.4301492E+001, 2.2062945E+001, 2.0789728E+001, 3.2578516E+000, 3.2667150E+000, 5.1124338E+000, 4.2992785E+000, 3.2678226E+000, 1.6073448E+000, 7.6395759E-001, 4.3845790E-001, 4.4891382E-001, 4.3105788E-001, 4.4013343E-001, 4.2360590E-001, 1.7929431E+000, 4.7904028E-001, 4.9310840E-001, 4.4875505E-001, 4.3301084E-001, 4.2419035E-001, 3.2172691E+001, 4.7884721E+001, 3.1773414E+001, 2.0158759E+001, 2.0113804E+001, 2.0066739E+001, 6.6908330E-002, 2.7670565E-003, 7.5247078E+000
 9.0019776E+000, 1.3289519E+002, 1.1225842E+002, 1.8761423E+002, 1.7049137E+002, 1.4333907E+002, 7.5909132E+001, 3.7293363E+001, 2.4333163E+001, 2.0989210E+001, 2.0412230E+001, 2.0685843E+001, 2.0154956E+001, 8.1842986E+001, 2.8614753E+001, 3.1273713E+001, 2.4542755E+001, 2.2133729E+001, 2.0822689E+001, 3.2982787E+000, 3.3147759E+000, 5.2276276E+000, 4.3716433E+000, 3.3355061E+000, 1.6248374E+000, 7.7201971E-001, 4.4121782E-001, 4.5053219E-001, 4.3204933E-001, 4.4038574E-001, 4.2374970E-001, 1.8051496E+000, 4.7994535E-001, 4.9977056E-001, 4.5046856E-001, 4.3350299E-001, 4.2441710E-001, 3.3455879E+001, 5.0528141E+001, 3.2592609E+001, 2.0177302E+001, 2.0125017E+001, 2.0073247E+001, 7.2904269E-002, 4.8827911E-003, 8.1363996E+000
