Output time [min],Output HRR from wood [kW],Output HRR inside enclosure [kW],Output HRR external to enclosure [kW],Output HRR total [kW],Output Gas Temp [DegC]
1.8975,0.0,238.49999999999994,0.0,238.49999999999994,81.09286506688102
1.9190625,0.0,251.43749999999997,0.0,251.43749999999997,82.96866909734752
1.940625,0.0,264.375,0.0,264.375,84.985628126459
1.9621875,0.0,277.3125,0.0,277.3125,87.1323305428134
1.98375,0.0,290.2499999999999,0.0,290.2499999999999,89.39851835477253
2.0053125,0.0,300.0,0.0,300.0,91.70203275881687
2.026875,0.0,300.0,0.0,300.0,93.81854409014119
2.0484375,0.0,300.0,0.0,300.0,95.76848165367045
2.07,0.0,300.0,0.0,300.0,97.56995183877461
2.0915624999999998,0.0,300.0,0.0,300.0,99.23894081068488
2.1131249999999997,0.0,300.0,0.0,300.0,100.78954294325848
2.1346874999999996,0.0,300.0,0.0,300.0,102.23418189006276
2.15625,0.0,300.0,0.0,300.0,103.58381300270321
2.1778125,0.0,300.0,0.0,300.0,104.84810416347199
2.1993750000000003,0.0,300.0,0.0,300.0,106.03559539009245
2.2209375,0.0,300.0,0.0,300.0,107.15383882201195
2.2424999999999997,0.0,300.0,0.0,300.0,108.20952109349963
2.2640625,0.0,300.0,0.0,300.0,109.20857012904565
2.285625,0.0,300.0,0.0,300.0,110.15624827418083
2.3071875,0.0,300.0,0.0,300.0,111.05723349552176
2.32875,0.0,300.0,0.0,300.0,111.9156901912852
2.3503125,0.0,300.0,0.0,300.0,112.73533096742233
2.371875,0.0,300.0,0.0,300.0,113.51947056323252
2.3934374999999997,0.0,300.0,0.0,300.0,114.27107295667645
2.415,0.0,300.0,0.0,300.0,114.99279254383396
2.4365625,0.0,300.0,0.0,300.0,115.68701016803249
2.458125,0.0,300.0,0.0,300.0,116.35586467059431
2.4796875,0.0,300.0,0.0,300.0,117.00128054524504
2.5012499999999998,0.0,300.0,0.0,300.0,117.62499220036023
2.5228125,0.0,300.0,0.0,300.0,118.22856526587691
2.544375,0.0,300.0,0.0,300.0,118.81341532348227
2.5659374999999995,0.0,300.0,0.0,300.0,119.38082438839541
2.5875,0.0,300.0,0.0,300.0,119.93195542760157
2.6090625,0.0,300.0,0.0,300.0,120.4678651618488
2.630625,0.0,300.0,0.0,300.0,120.98951536625975
2.6521874999999997,0.0,300.0,0.0,300.0,121.4977828563471
2.6737499999999996,0.0,300.0,0.0,300.0,121.9934683219418
2.6953125,0.0,300.0,0.0,300.0,122.47730415052797
2.716875,0.0,300.0,0.0,300.0,122.94996136327626
2.7384375000000003,0.0,300.0,0.0,300.0,123.41205577129358
2.76,0.0,305.99999999999994,0.0,305.99999999999994,124.00156075496233
2.7815624999999997,0.0,318.93749999999983,0.0,318.93749999999983,124.86406892800147
2.803125,0.0,331.875,0.0,331.875,125.97191039334302
2.8246875,0.0,344.8124999999999,0.0,344.8124999999999,127.30071658536366
2.84625,0.0,357.75000000000006,0.0,357.75000000000006,128.82901990106922
2.8678125,0.0,370.68749999999994,0.0,370.68749999999994,130.5378781461019
2.889375,0.0,383.62499999999983,0.0,383.62499999999983,132.41054142530055
2.9109375,0.0,396.5625,0.0,396.5625,134.43216302172124
2.9324999999999997,0.0,409.4999999999999,0.0,409.4999999999999,136.58955059432537
2.9540625,0.0,422.43750000000006,0.0,422.43750000000006,138.87095267264664
2.975625,0.0,435.37499999999994,0.0,435.37499999999994,141.26587545981624
2.9971875,0.0,448.31249999999983,0.0,448.31249999999983,143.7649254498147
3.01875,0.0,450.0,0.0,450.0,146.10188577955142
3.0403124999999998,0.0,450.0,0.0,450.0,148.25717475261848
3.061875,0.0,450.0,0.0,450.0,150.25155542550925
3.0834375,0.0,450.0,0.0,450.0,152.10321069871685
3.1049999999999995,0.0,450.0,0.0,450.0,153.82803970224444
3.1265625,0.0,450.0,0.0,450.0,155.43994261272866
3.148125,0.0,450.0,0.0,450.0,156.95107885493968
3.1696875,0.0,450.0,0.0,450.0,158.37209537418568
3.1912499999999997,0.0,450.0,0.0,450.0,159.71232604320863
3.2128124999999996,0.0,450.0,0.0,450.0,160.97996480544725
3.234375,0.0,450.0,0.0,450.0,162.1822155543427
3.2559375,0.0,450.0,0.0,450.0,163.32542168475703
3.2775000000000003,0.0,450.0,0.0,450.0,164.4151780117063
3.2990625,0.0,450.0,0.0,450.0,165.45642745587668
3.3206249999999997,0.0,450.0,0.0,450.0,166.45354459779787
3.3421875,0.0,450.0,0.0,450.0,167.4104079251979
3.36375,0.0,450.0,0.0,450.0,168.33046234897114
3.3853125,0.0,450.0,0.0,450.0,169.216773343898
3.406875,0.0,450.0,0.0,450.0,170.07207387940002
3.4284375,0.0,450.0,0.0,450.0,170.89880514065885
3.45,0.0,450.0,0.0,450.0,171.69915189845392
3.4715624999999997,0.0,450.0,0.0,450.0,172.47507326420225
3.493125,0.0,450.0,0.0,450.0,173.22832946223303
3.5146875,0.0,450.0,0.0,450.0,173.96050516188615
3.53625,0.0,450.0,0.0,450.0,174.67302983547052
3.5578125,0.0,450.0,0.0,450.0,175.36719554260054
3.5793749999999998,0.0,450.0,0.0,450.0,176.044172485351
3.6009375,0.0,450.0,0.0,450.0,176.70502263066112
3.6225,0.0,450.0,0.0,450.0,177.3507116552961
3.6440624999999995,0.0,450.0,0.0,450.0,177.98211943343733
3.665625,0.0,450.0,0.0,450.0,178.60004925675747
3.6871875,0.0,450.0,0.0,450.0,179.20523595091458
3.70875,0.0,450.0,0.0,450.0,179.798353030143
3.7303124999999997,0.0,450.0,0.0,450.0,180.3800190124967
3.7518749999999996,0.0,450.0,0.0,450.0,180.95080300185947
3.7734375,0.0,450.0,0.0,450.0,181.5112296286884
3.795,0.0,450.0,0.0,450.0,182.06178342927217
3.8165625000000003,0.0,450.0,0.0,450.0,182.60291273278511
3.838125,0.0,450.0,0.0,450.0,183.13503311635844
3.8596874999999997,0.0,450.0,0.0,450.0,183.65853048056766
3.88125,0.0,450.0,0.0,450.0,184.17376379097794
3.9028125,0.0,450.0,0.0,450.0,184.6810675255415
3.924375,0.0,450.0,0.0,450.0,185.18075386258187
3.9459375,0.0,450.0,0.0,450.0,185.67311463971367
